1,"Obtener Cedula Identidad Boliviano                                                                  "
2,"Obtener Cedula Identidad Extranjero                                                                 "
3,"Duplicado                                                                                           "
4,"Renovacion                                                                                          "
5,"Rectificacion                                                                                       "
6,"Anular Solicitud                                                                                    "
